x, y, z, level
5.99996, 0.0959065, 9, 0
6.99996, 0.0968113, 9, 0
7.99996, 0.0977161, 9, 0
8.99996, 0.0986209, 9, 0
9.99995, 0.0995256, 9, 0
-4.09312e-05, 0.0904779, 10, 0
0.999959, 0.0913826, 10, 0
1.99996, 0.0922874, 10, 0
2.99996, 0.0931922, 10, 0
3.99996, 0.094097, 10, 0
4.99996, 0.0950017, 10, 0
5.99996, 0.0959065, 10, 0
6.99996, 0.0968113, 10, 0
7.99996, 0.0977161, 10, 0
8.99996, 0.0986209, 10, 0
9.99995, 0.0995256, 10, 0
-5.05324e-05, 0.100531, 0, 0
8.99994, 0.109579, 0, 0
9.99994, 0.110584, 0, 0
7.99995, 0.108573, 1, 0
8.99994, 0.109579, 1, 0
6.99995, 0.107568, 2, 0
7.99995, 0.108573, 2, 0
5.99995, 0.106563, 3, 0
6.99995, 0.107568, 3, 0
4.99995, 0.105557, 4, 0
5.99995, 0.106563, 4, 0
3.99995, 0.104552, 5, 0
4.99995, 0.105557, 5, 0
2.99995, 0.103547, 6, 0
3.99995, 0.104552, 6, 0
1.99995, 0.102542, 7, 0
2.99995, 0.103547, 7, 0
3.99995, 0.104552, 7, 0
4.99995, 0.105557, 7, 0
5.99995, 0.106563, 7, 0
6.99995, 0.107568, 7, 0
7.99995, 0.108573, 7, 0
8.99994, 0.109579, 7, 0
9.99994, 0.110584, 7, 0
-5.05324e-05, 0.100531, 8, 0
0.999949, 0.101536, 8, 0
1.99995, 0.102542, 8, 0
2.99995, 0.103547, 8, 0
3.99995, 0.104552, 8, 0
4.99995, 0.105557, 8, 0
5.99995, 0.106563, 8, 0
6.99995, 0.107568, 8, 0
7.99995, 0.108573, 8, 0
8.99994, 0.109579, 8, 0
9.99994, 0.110584, 8, 0
-5.05324e-05, 0.100531, 9, 0
0.999949, 0.101536, 9, 0
9.99994, 0.110584, 9, 0
-5.05324e-05, 0.100531, 10, 0
8.99994, 0.109579, 10, 0
9.99994, 0.110584, 10, 0
7.99993, 0.119431, 0, 0
8.99993, 0.120537, 0, 0
6.99993, 0.118325, 1, 0
7.99993, 0.119431, 1, 0
5.99994, 0.117219, 2, 0
6.99993, 0.118325, 2, 0
4.99994, 0.116113, 3, 0
5.99994, 0.117219, 3, 0
3.99994, 0.115007, 4, 0
4.99994, 0.116113, 4, 0
2.99994, 0.113902, 5, 0
3.99994, 0.115007, 5, 0
4.99994, 0.116113, 5, 0
5.99994, 0.117219, 5, 0
6.99993, 0.118325, 5, 0
7.99993, 0.119431, 5, 0
8.99993, 0.120537, 5, 0
9.99993, 0.121642, 5, 0
-6.11442e-05, 0.110584, 6, 0
0.999938, 0.11169, 6, 0
1.99994, 0.112796, 6, 0
2.99994, 0.113902, 6, 0
3.99994, 0.115007, 6, 0
4.99994, 0.116113, 6, 0
5.99994, 0.117219, 6, 0
6.99993, 0.118325, 6, 0
7.99993, 0.119431, 6, 0
8.99993, 0.120537, 6, 0
9.99993, 0.121642, 6, 0
-6.11442e-05, 0.110584, 7, 0
0.999938, 0.11169, 7, 0
1.99994, 0.112796, 7, 0
-6.11442e-05, 0.110584, 8, 0
0.999938, 0.11169, 8, 0
9.99993, 0.121642, 8, 0
-6.11442e-05, 0.110584, 9, 0
8.99993, 0.120537, 9, 0
9.99993, 0.121642, 9, 0
7.99993, 0.119431, 10, 0
8.99993, 0.120537, 10, 0
6.99992, 0.129082, 0, 0
7.99992, 0.130288, 0, 0
5.99992, 0.127875, 1, 0
6.99992, 0.129082, 1, 0
4.99992, 0.126669, 2, 0
5.99992, 0.127875, 2, 0
3.99992, 0.125463, 3, 0
4.99992, 0.126669, 3, 0
5.99992, 0.127875, 3, 0
6.99992, 0.129082, 3, 0
7.99992, 0.130288, 3, 0
8.99992, 0.131494, 3, 0
9.99992, 0.132701, 3, 0
-7.27666e-05, 0.120637, 4, 0
0.999927, 0.121843, 4, 0
1.99993, 0.12305, 4, 0
2.99993, 0.124256, 4, 0
3.99992, 0.125463, 4, 0
4.99992, 0.126669, 4, 0
5.99992, 0.127875, 4, 0
6.99992, 0.129082, 4, 0
7.99992, 0.130288, 4, 0
8.99992, 0.131494, 4, 0
9.99992, 0.132701, 4, 0
-7.27666e-05, 0.120637, 5, 0
0.999927, 0.121843, 5, 0
1.99993, 0.12305, 5, 0
2.99993, 0.124256, 5, 0
0.999927, 0.121843, 6, 0
1.99993, 0.12305, 6, 0
-7.27666e-05, 0.120637, 7, 0
0.999927, 0.121843, 7, 0
9.99992, 0.132701, 7, 0
-7.27666e-05, 0.120637, 8, 0
8.99992, 0.131494, 8, 0
9.99992, 0.132701, 8, 0
7.99992, 0.130288, 9, 0
8.99992, 0.131494, 9, 0
6.99992, 0.129082, 10, 0
7.99992, 0.130288, 10, 0
5.99991, 0.138532, 0, 0
6.99991, 0.139839, 0, 0
4.99991, 0.137225, 1, 0
5.99991, 0.138532, 1, 0
6.99991, 0.139839, 1, 0
7.99991, 0.141145, 1, 0
8.99991, 0.142452, 1, 0
9.99991, 0.143759, 1, 0
-8.53997e-05, 0.13069, 2, 0
0.999914, 0.131997, 2, 0
1.99991, 0.133304, 2, 0
2.99991, 0.134611, 2, 0
3.99991, 0.135918, 2, 0
4.99991, 0.137225, 2, 0
5.99991, 0.138532, 2, 0
6.99991, 0.139839, 2, 0
7.99991, 0.141145, 2, 0
8.99991, 0.142452, 2, 0
9.99991, 0.143759, 2, 0
-8.53997e-05, 0.13069, 3, 0
0.999914, 0.131997, 3, 0
1.99991, 0.133304, 3, 0
2.99991, 0.134611, 3, 0
3.99991, 0.135918, 3, 0
1.99991, 0.133304, 4, 0
2.99991, 0.134611, 4, 0
0.999914, 0.131997, 5, 0
1.99991, 0.133304, 5, 0
-8.53997e-05, 0.13069, 6, 0
0.999914, 0.131997, 6, 0
9.99991, 0.143759, 6, 0
-8.53997e-05, 0.13069, 7, 0
8.99991, 0.142452, 7, 0
9.99991, 0.143759, 7, 0
7.99991, 0.141145, 8, 0
8.99991, 0.142452, 8, 0
6.99991, 0.139839, 9, 0
7.99991, 0.141145, 9, 0
5.99991, 0.138532, 10, 0
6.99991, 0.139839, 10, 0
7.99991, 0.141145, 10, 0
8.99991, 0.142452, 10, 0
9.99991, 0.143759, 10, 0
-9.90434e-05, 0.140743, 0, 0
0.9999, 0.142151, 0, 0
1.9999, 0.143558, 0, 0
2.9999, 0.144966, 0, 0
3.9999, 0.146373, 0, 0
4.9999, 0.14778, 0, 0
5.9999, 0.149188, 0, 0
6.99989, 0.150595, 0, 0
7.99989, 0.152003, 0, 0
8.99989, 0.15341, 0, 0
9.99989, 0.154818, 0, 0
-9.90434e-05, 0.140743, 1, 0
0.9999, 0.142151, 1, 0
1.9999, 0.143558, 1, 0
2.9999, 0.144966, 1, 0
3.9999, 0.146373, 1, 0
4.9999, 0.14778, 1, 0
2.9999, 0.144966, 2, 0
3.9999, 0.146373, 2, 0
1.9999, 0.143558, 3, 0
2.9999, 0.144966, 3, 0
0.9999, 0.142151, 4, 0
1.9999, 0.143558, 4, 0
-9.90434e-05, 0.140743, 5, 0
0.9999, 0.142151, 5, 0
9.99989, 0.154818, 5, 0
-9.90434e-05, 0.140743, 6, 0
8.99989, 0.15341, 6, 0
9.99989, 0.154818, 6, 0
7.99989, 0.152003, 7, 0
8.99989, 0.15341, 7, 0
6.99989, 0.150595, 8, 0
7.99989, 0.152003, 8, 0
8.99989, 0.15341, 8, 0
9.99989, 0.154818, 8, 0
-9.90434e-05, 0.140743, 9, 0
0.9999, 0.142151, 9, 0
1.9999, 0.143558, 9, 0
2.9999, 0.144966, 9, 0
3.9999, 0.146373, 9, 0
4.9999, 0.14778, 9, 0
5.9999, 0.149188, 9, 0
6.99989, 0.150595, 9, 0
7.99989, 0.152003, 9, 0
8.99989, 0.15341, 9, 0
9.99989, 0.154818, 9, 0
-9.90434e-05, 0.140743, 10, 0
0.9999, 0.142151, 10, 0
1.9999, 0.143558, 10, 0
2.9999, 0.144966, 10, 0
3.9999, 0.146373, 10, 0
4.9999, 0.14778, 10, 0
5.9999, 0.149188, 10, 0
3.99988, 0.156828, 0, 0
4.99988, 0.158336, 0, 0
2.99988, 0.15532, 1, 0
3.99988, 0.156828, 1, 0
1.99988, 0.153812, 2, 0
2.99988, 0.15532, 2, 0
0.999885, 0.152304, 3, 0
1.99988, 0.153812, 3, 0
-0.000113698, 0.150796, 4, 0
0.999885, 0.152304, 4, 0
9.99987, 0.165876, 4, 0
-0.000113698, 0.150796, 5, 0
8.99988, 0.164368, 5, 0
9.99987, 0.165876, 5, 0
7.99988, 0.16286, 6, 0
8.99988, 0.164368, 6, 0
9.99987, 0.165876, 6, 0
-0.000113698, 0.150796, 7, 0
0.999885, 0.152304, 7, 0
1.99988, 0.153812, 7, 0
2.99988, 0.15532, 7, 0
3.99988, 0.156828, 7, 0
4.99988, 0.158336, 7, 0
5.99988, 0.159844, 7, 0
6.99988, 0.161352, 7, 0
7.99988, 0.16286, 7, 0
8.99988, 0.164368, 7, 0
9.99987, 0.165876, 7, 0
-0.000113698, 0.150796, 8, 0
0.999885, 0.152304, 8, 0
1.99988, 0.153812, 8, 0
2.99988, 0.15532, 8, 0
3.99988, 0.156828, 8, 0
4.99988, 0.158336, 8, 0
5.99988, 0.159844, 8, 0
6.99988, 0.161352, 8, 0
4.99988, 0.158336, 9, 0
5.99988, 0.159844, 9, 0
3.99988, 0.156828, 10, 0
4.99988, 0.158336, 10, 0
2.99987, 0.165675, 0, 0
3.99987, 0.167283, 0, 0
1.99987, 0.164066, 1, 0
2.99987, 0.165675, 1, 0
0.999869, 0.162458, 2, 0
1.99987, 0.164066, 2, 0
-0.000129363, 0.160849, 3, 0
0.999869, 0.162458, 3, 0
9.99986, 0.176934, 3, 0
-0.000129363, 0.160849, 4, 0
8.99986, 0.175326, 4, 0
9.99986, 0.176934, 4, 0
-0.000129363, 0.160849, 5, 0
0.999869, 0.162458, 5, 0
1.99987, 0.164066, 5, 0
2.99987, 0.165675, 5, 0
3.99987, 0.167283, 5, 0
4.99986, 0.168892, 5, 0
5.99986, 0.1705, 5, 0
6.99986, 0.172109, 5, 0
7.99986, 0.173717, 5, 0
8.99986, 0.175326, 5, 0
9.99986, 0.176934, 5, 0
-0.000129363, 0.160849, 6, 0
0.999869, 0.162458, 6, 0
1.99987, 0.164066, 6, 0
2.99987, 0.165675, 6, 0
3.99987, 0.167283, 6, 0
4.99986, 0.168892, 6, 0
5.99986, 0.1705, 6, 0
6.99986, 0.172109, 6, 0
7.99986, 0.173717, 6, 0
5.99986, 0.1705, 7, 0
6.99986, 0.172109, 7, 0
4.99986, 0.168892, 8, 0
5.99986, 0.1705, 8, 0
3.99987, 0.167283, 9, 0
4.99986, 0.168892, 9, 0
2.99987, 0.165675, 10, 0
3.99987, 0.167283, 10, 0
1.99985, 0.174321, 0, 0
2.99985, 0.17603, 0, 0
0.999853, 0.172612, 1, 0
1.99985, 0.174321, 1, 0
-0.000146039, 0.170903, 2, 0
0.999853, 0.172612, 2, 0
9.99984, 0.187993, 2, 0
-0.000146039, 0.170903, 3, 0
0.999853, 0.172612, 3, 0
1.99985, 0.174321, 3, 0
